,ID,BedrijfstakkenBranchesSBI2008,Perioden,Ongecorrigeerd_1,Kalendergecorrigeerd_2,Seizoengecorrigeerd_3,Ongecorrigeerd_4,Kalendergecorrigeerd_5,Ongecorrigeerd_6,Seizoengecorrigeerd_7,Ongecorrigeerd_8,Kalendergecorrigeerd_9,Seizoengecorrigeerd_10,Ongecorrigeerd_11,Kalendergecorrigeerd_12,Ongecorrigeerd_13,Seizoengecorrigeerd_14,Ongecorrigeerd_15,Kalendergecorrigeerd_16,Seizoengecorrigeerd_17,Ongecorrigeerd_18,Kalendergecorrigeerd_19,Ongecorrigeerd_20,Seizoengecorrigeerd_21
0,0,G Handel,2000 januari,,,,,,,,,,,,,,,,,,,,,
1,1,G Handel,2000 februari,,,,,,,,,,,,,,,,,,,,,
2,2,G Handel,2000 maart,,,,,,,,,,,,,,,,,,,,,
3,3,G Handel,2000 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
4,4,G Handel,2000 april,,,,,,,,,,,,,,,,,,,,,
5,5,G Handel,2000 mei,,,,,,,,,,,,,,,,,,,,,
6,6,G Handel,2000 juni,,,,,,,,,,,,,,,,,,,,,
7,7,G Handel,2000 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
8,8,G Handel,2000 juli,,,,,,,,,,,,,,,,,,,,,
9,9,G Handel,2000 augustus,,,,,,,,,,,,,,,,,,,,,
10,10,G Handel,2000 september,,,,,,,,,,,,,,,,,,,,,
11,11,G Handel,2000 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
12,12,G Handel,2000 oktober,,,,,,,,,,,,,,,,,,,,,
13,13,G Handel,2000 november,,,,,,,,,,,,,,,,,,,,,
14,14,G Handel,2000 december,,,,,,,,,,,,,,,,,,,,,
15,15,G Handel,2000 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
16,16,G Handel,2000,,,,,,,,,,,,,,,,,,,,,
17,17,G Handel,2001 januari,,,,,,,,,,,,,,,,,,,,,
18,18,G Handel,2001 februari,,,,,,,,,,,,,,,,,,,,,
19,19,G Handel,2001 maart,,,,,,,,,,,,,,,,,,,,,
20,20,G Handel,2001 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
21,21,G Handel,2001 april,,,,,,,,,,,,,,,,,,,,,
22,22,G Handel,2001 mei,,,,,,,,,,,,,,,,,,,,,
23,23,G Handel,2001 juni,,,,,,,,,,,,,,,,,,,,,
24,24,G Handel,2001 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
25,25,G Handel,2001 juli,,,,,,,,,,,,,,,,,,,,,
26,26,G Handel,2001 augustus,,,,,,,,,,,,,,,,,,,,,
27,27,G Handel,2001 september,,,,,,,,,,,,,,,,,,,,,
28,28,G Handel,2001 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
29,29,G Handel,2001 oktober,,,,,,,,,,,,,,,,,,,,,
30,30,G Handel,2001 november,,,,,,,,,,,,,,,,,,,,,
31,31,G Handel,2001 december,,,,,,,,,,,,,,,,,,,,,
32,32,G Handel,2001 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
33,33,G Handel,2001,,,,,,,,,,,,,,,,,,,,,
34,34,G Handel,2002 januari,,,,,,,,,,,,,,,,,,,,,
35,35,G Handel,2002 februari,,,,,,,,,,,,,,,,,,,,,
36,36,G Handel,2002 maart,,,,,,,,,,,,,,,,,,,,,
37,37,G Handel,2002 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
38,38,G Handel,2002 april,,,,,,,,,,,,,,,,,,,,,
39,39,G Handel,2002 mei,,,,,,,,,,,,,,,,,,,,,
40,40,G Handel,2002 juni,,,,,,,,,,,,,,,,,,,,,
41,41,G Handel,2002 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
42,42,G Handel,2002 juli,,,,,,,,,,,,,,,,,,,,,
43,43,G Handel,2002 augustus,,,,,,,,,,,,,,,,,,,,,
44,44,G Handel,2002 september,,,,,,,,,,,,,,,,,,,,,
45,45,G Handel,2002 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
46,46,G Handel,2002 oktober,,,,,,,,,,,,,,,,,,,,,
47,47,G Handel,2002 november,,,,,,,,,,,,,,,,,,,,,
48,48,G Handel,2002 december,,,,,,,,,,,,,,,,,,,,,
49,49,G Handel,2002 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
50,50,G Handel,2002,,,,,,,,,,,,,,,,,,,,,
51,51,G Handel,2003 januari,,,,,,,,,,,,,,,,,,,,,
52,52,G Handel,2003 februari,,,,,,,,,,,,,,,,,,,,,
53,53,G Handel,2003 maart,,,,,,,,,,,,,,,,,,,,,
54,54,G Handel,2003 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
55,55,G Handel,2003 april,,,,,,,,,,,,,,,,,,,,,
56,56,G Handel,2003 mei,,,,,,,,,,,,,,,,,,,,,
57,57,G Handel,2003 juni,,,,,,,,,,,,,,,,,,,,,
58,58,G Handel,2003 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
59,59,G Handel,2003 juli,,,,,,,,,,,,,,,,,,,,,
60,60,G Handel,2003 augustus,,,,,,,,,,,,,,,,,,,,,
61,61,G Handel,2003 september,,,,,,,,,,,,,,,,,,,,,
62,62,G Handel,2003 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
63,63,G Handel,2003 oktober,,,,,,,,,,,,,,,,,,,,,
64,64,G Handel,2003 november,,,,,,,,,,,,,,,,,,,,,
65,65,G Handel,2003 december,,,,,,,,,,,,,,,,,,,,,
66,66,G Handel,2003 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
67,67,G Handel,2003,,,,,,,,,,,,,,,,,,,,,
68,68,G Handel,2004 januari,,,,,,,,,,,,,,,,,,,,,
69,69,G Handel,2004 februari,,,,,,,,,,,,,,,,,,,,,
70,70,G Handel,2004 maart,,,,,,,,,,,,,,,,,,,,,
71,71,G Handel,2004 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
72,72,G Handel,2004 april,,,,,,,,,,,,,,,,,,,,,
73,73,G Handel,2004 mei,,,,,,,,,,,,,,,,,,,,,
74,74,G Handel,2004 juni,,,,,,,,,,,,,,,,,,,,,
75,75,G Handel,2004 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
76,76,G Handel,2004 juli,,,,,,,,,,,,,,,,,,,,,
77,77,G Handel,2004 augustus,,,,,,,,,,,,,,,,,,,,,
78,78,G Handel,2004 september,,,,,,,,,,,,,,,,,,,,,
79,79,G Handel,2004 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
80,80,G Handel,2004 oktober,,,,,,,,,,,,,,,,,,,,,
81,81,G Handel,2004 november,,,,,,,,,,,,,,,,,,,,,
82,82,G Handel,2004 december,,,,,,,,,,,,,,,,,,,,,
83,83,G Handel,2004 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
84,84,G Handel,2004,,,,,,,,,,,,,,,,,,,,,
85,85,G Handel,2005 januari,,,,,,,,,,,,,,,,,,,,,
86,86,G Handel,2005 februari,,,,,,,,,,,,,,,,,,,,,
87,87,G Handel,2005 maart,,,,,,,,,,,,,,,,,,,,,
88,88,G Handel,2005 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
89,89,G Handel,2005 april,,,,,,,,,,,,,,,,,,,,,
90,90,G Handel,2005 mei,,,,,,,,,,,,,,,,,,,,,
91,91,G Handel,2005 juni,,,,,,,,,,,,,,,,,,,,,
92,92,G Handel,2005 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
93,93,G Handel,2005 juli,,,,,,,,,,,,,,,,,,,,,
94,94,G Handel,2005 augustus,,,,,,,,,,,,,,,,,,,,,
95,95,G Handel,2005 september,,,,,,,,,,,,,,,,,,,,,
96,96,G Handel,2005 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
97,97,G Handel,2005 oktober,,,,,,,,,,,,,,,,,,,,,
98,98,G Handel,2005 november,,,,,,,,,,,,,,,,,,,,,
99,99,G Handel,2005 december,,,,,,,,,,,,,,,,,,,,,
100,100,G Handel,2005 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
101,101,G Handel,2005,,,,,,,,,,,,,,,,,,,,,
102,102,G Handel,2006 januari,,,,,,,,,,,,,,,,,,,,,
103,103,G Handel,2006 februari,,,,,,,,,,,,,,,,,,,,,
104,104,G Handel,2006 maart,,,,,,,,,,,,,,,,,,,,,
105,105,G Handel,2006 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
106,106,G Handel,2006 april,,,,,,,,,,,,,,,,,,,,,
107,107,G Handel,2006 mei,,,,,,,,,,,,,,,,,,,,,
108,108,G Handel,2006 juni,,,,,,,,,,,,,,,,,,,,,
109,109,G Handel,2006 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
110,110,G Handel,2006 juli,,,,,,,,,,,,,,,,,,,,,
111,111,G Handel,2006 augustus,,,,,,,,,,,,,,,,,,,,,
112,112,G Handel,2006 september,,,,,,,,,,,,,,,,,,,,,
113,113,G Handel,2006 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
114,114,G Handel,2006 oktober,,,,,,,,,,,,,,,,,,,,,
115,115,G Handel,2006 november,,,,,,,,,,,,,,,,,,,,,
116,116,G Handel,2006 december,,,,,,,,,,,,,,,,,,,,,
117,117,G Handel,2006 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
118,118,G Handel,2006,,,,,,,,,,,,,,,,,,,,,
119,119,G Handel,2007 januari,,,,,,,,,,,,,,,,,,,,,
120,120,G Handel,2007 februari,,,,,,,,,,,,,,,,,,,,,
121,121,G Handel,2007 maart,,,,,,,,,,,,,,,,,,,,,
122,122,G Handel,2007 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
123,123,G Handel,2007 april,,,,,,,,,,,,,,,,,,,,,
124,124,G Handel,2007 mei,,,,,,,,,,,,,,,,,,,,,
125,125,G Handel,2007 juni,,,,,,,,,,,,,,,,,,,,,
126,126,G Handel,2007 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
127,127,G Handel,2007 juli,,,,,,,,,,,,,,,,,,,,,
128,128,G Handel,2007 augustus,,,,,,,,,,,,,,,,,,,,,
129,129,G Handel,2007 september,,,,,,,,,,,,,,,,,,,,,
130,130,G Handel,2007 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
131,131,G Handel,2007 oktober,,,,,,,,,,,,,,,,,,,,,
132,132,G Handel,2007 november,,,,,,,,,,,,,,,,,,,,,
133,133,G Handel,2007 december,,,,,,,,,,,,,,,,,,,,,
134,134,G Handel,2007 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
135,135,G Handel,2007,,,,,,,,,,,,,,,,,,,,,
136,136,G Handel,2008 januari,,,,,,,,,,,,,,,,,,,,,
137,137,G Handel,2008 februari,,,,,,,,,,,,,,,,,,,,,
138,138,G Handel,2008 maart,,,,,,,,,,,,,,,,,,,,,
139,139,G Handel,2008 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
140,140,G Handel,2008 april,,,,,,,,,,,,,,,,,,,,,
141,141,G Handel,2008 mei,,,,,,,,,,,,,,,,,,,,,
142,142,G Handel,2008 juni,,,,,,,,,,,,,,,,,,,,,
143,143,G Handel,2008 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
144,144,G Handel,2008 juli,,,,,,,,,,,,,,,,,,,,,
145,145,G Handel,2008 augustus,,,,,,,,,,,,,,,,,,,,,
146,146,G Handel,2008 september,,,,,,,,,,,,,,,,,,,,,
147,147,G Handel,2008 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
148,148,G Handel,2008 oktober,,,,,,,,,,,,,,,,,,,,,
149,149,G Handel,2008 november,,,,,,,,,,,,,,,,,,,,,
150,150,G Handel,2008 december,,,,,,,,,,,,,,,,,,,,,
151,151,G Handel,2008 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
152,152,G Handel,2008,,,,,,,,,,,,,,,,,,,,,
153,153,G Handel,2009 januari,,,,,,,,,,,,,,,,,,,,,
154,154,G Handel,2009 februari,,,,,,,,,,,,,,,,,,,,,
155,155,G Handel,2009 maart,,,,,,,,,,,,,,,,,,,,,
156,156,G Handel,2009 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
157,157,G Handel,2009 april,,,,,,,,,,,,,,,,,,,,,
158,158,G Handel,2009 mei,,,,,,,,,,,,,,,,,,,,,
159,159,G Handel,2009 juni,,,,,,,,,,,,,,,,,,,,,
160,160,G Handel,2009 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
161,161,G Handel,2009 juli,,,,,,,,,,,,,,,,,,,,,
162,162,G Handel,2009 augustus,,,,,,,,,,,,,,,,,,,,,
163,163,G Handel,2009 september,,,,,,,,,,,,,,,,,,,,,
164,164,G Handel,2009 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
165,165,G Handel,2009 oktober,,,,,,,,,,,,,,,,,,,,,
166,166,G Handel,2009 november,,,,,,,,,,,,,,,,,,,,,
167,167,G Handel,2009 december,,,,,,,,,,,,,,,,,,,,,
168,168,G Handel,2009 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
169,169,G Handel,2009,,,,,,,,,,,,,,,,,,,,,
170,170,G Handel,2010 januari,,,,,,,,,,,,,,,,,,,,,
171,171,G Handel,2010 februari,,,,,,,,,,,,,,,,,,,,,
172,172,G Handel,2010 maart,,,,,,,,,,,,,,,,,,,,,
173,173,G Handel,2010 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
174,174,G Handel,2010 april,,,,,,,,,,,,,,,,,,,,,
175,175,G Handel,2010 mei,,,,,,,,,,,,,,,,,,,,,
176,176,G Handel,2010 juni,,,,,,,,,,,,,,,,,,,,,
177,177,G Handel,2010 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
178,178,G Handel,2010 juli,,,,,,,,,,,,,,,,,,,,,
179,179,G Handel,2010 augustus,,,,,,,,,,,,,,,,,,,,,
180,180,G Handel,2010 september,,,,,,,,,,,,,,,,,,,,,
181,181,G Handel,2010 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
182,182,G Handel,2010 oktober,,,,,,,,,,,,,,,,,,,,,
183,183,G Handel,2010 november,,,,,,,,,,,,,,,,,,,,,
184,184,G Handel,2010 december,,,,,,,,,,,,,,,,,,,,,
185,185,G Handel,2010 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
186,186,G Handel,2010,,,,,,,,,,,,,,,,,,,,,
187,187,G Handel,2011 januari,,,,,,,,,,,,,,,,,,,,,
188,188,G Handel,2011 februari,,,,,,,,,,,,,,,,,,,,,
189,189,G Handel,2011 maart,,,,,,,,,,,,,,,,,,,,,
190,190,G Handel,2011 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
191,191,G Handel,2011 april,,,,,,,,,,,,,,,,,,,,,
192,192,G Handel,2011 mei,,,,,,,,,,,,,,,,,,,,,
193,193,G Handel,2011 juni,,,,,,,,,,,,,,,,,,,,,
194,194,G Handel,2011 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
195,195,G Handel,2011 juli,,,,,,,,,,,,,,,,,,,,,
196,196,G Handel,2011 augustus,,,,,,,,,,,,,,,,,,,,,
197,197,G Handel,2011 september,,,,,,,,,,,,,,,,,,,,,
198,198,G Handel,2011 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
199,199,G Handel,2011 oktober,,,,,,,,,,,,,,,,,,,,,
200,200,G Handel,2011 november,,,,,,,,,,,,,,,,,,,,,
201,201,G Handel,2011 december,,,,,,,,,,,,,,,,,,,,,
202,202,G Handel,2011 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
203,203,G Handel,2011,,,,,,,,,,,,,,,,,,,,,
204,204,G Handel,2012 januari,,,,,,,,,,,,,,,,,,,,,
205,205,G Handel,2012 februari,,,,,,,,,,,,,,,,,,,,,
206,206,G Handel,2012 maart,,,,,,,,,,,,,,,,,,,,,
207,207,G Handel,2012 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
208,208,G Handel,2012 april,,,,,,,,,,,,,,,,,,,,,
209,209,G Handel,2012 mei,,,,,,,,,,,,,,,,,,,,,
210,210,G Handel,2012 juni,,,,,,,,,,,,,,,,,,,,,
211,211,G Handel,2012 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
212,212,G Handel,2012 juli,,,,,,,,,,,,,,,,,,,,,
213,213,G Handel,2012 augustus,,,,,,,,,,,,,,,,,,,,,
214,214,G Handel,2012 september,,,,,,,,,,,,,,,,,,,,,
215,215,G Handel,2012 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
216,216,G Handel,2012 oktober,,,,,,,,,,,,,,,,,,,,,
217,217,G Handel,2012 november,,,,,,,,,,,,,,,,,,,,,
218,218,G Handel,2012 december,,,,,,,,,,,,,,,,,,,,,
219,219,G Handel,2012 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
220,220,G Handel,2012,,,,,,,,,,,,,,,,,,,,,
221,221,G Handel,2013 januari,,,,,,,,,,,,,,,,,,,,,
222,222,G Handel,2013 februari,,,,,,,,,,,,,,,,,,,,,
223,223,G Handel,2013 maart,,,,,,,,,,,,,,,,,,,,,
224,224,G Handel,2013 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
225,225,G Handel,2013 april,,,,,,,,,,,,,,,,,,,,,
226,226,G Handel,2013 mei,,,,,,,,,,,,,,,,,,,,,
227,227,G Handel,2013 juni,,,,,,,,,,,,,,,,,,,,,
228,228,G Handel,2013 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
229,229,G Handel,2013 juli,,,,,,,,,,,,,,,,,,,,,
230,230,G Handel,2013 augustus,,,,,,,,,,,,,,,,,,,,,
231,231,G Handel,2013 september,,,,,,,,,,,,,,,,,,,,,
232,232,G Handel,2013 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
233,233,G Handel,2013 oktober,,,,,,,,,,,,,,,,,,,,,
234,234,G Handel,2013 november,,,,,,,,,,,,,,,,,,,,,
235,235,G Handel,2013 december,,,,,,,,,,,,,,,,,,,,,
236,236,G Handel,2013 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
237,237,G Handel,2013,,,,,,,,,,,,,,,,,,,,,
238,238,G Handel,2014 januari,,,,,,,,,,,,,,,,,,,,,
239,239,G Handel,2014 februari,,,,,,,,,,,,,,,,,,,,,
240,240,G Handel,2014 maart,,,,,,,,,,,,,,,,,,,,,
241,241,G Handel,2014 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
242,242,G Handel,2014 april,,,,,,,,,,,,,,,,,,,,,
243,243,G Handel,2014 mei,,,,,,,,,,,,,,,,,,,,,
244,244,G Handel,2014 juni,,,,,,,,,,,,,,,,,,,,,
245,245,G Handel,2014 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
246,246,G Handel,2014 juli,,,,,,,,,,,,,,,,,,,,,
247,247,G Handel,2014 augustus,,,,,,,,,,,,,,,,,,,,,
248,248,G Handel,2014 september,,,,,,,,,,,,,,,,,,,,,
249,249,G Handel,2014 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
250,250,G Handel,2014 oktober,,,,,,,,,,,,,,,,,,,,,
251,251,G Handel,2014 november,,,,,,,,,,,,,,,,,,,,,
252,252,G Handel,2014 december,,,,,,,,,,,,,,,,,,,,,
253,253,G Handel,2014 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
254,254,G Handel,2014,,,,,,,,,,,,,,,,,,,,,
255,255,G Handel,2015 januari,,,,,,,,,,,,,,,,,,,,,
256,256,G Handel,2015 februari,,,,,,,,,,,,,,,,,,,,,
257,257,G Handel,2015 maart,,,,,,,,,,,,,,,,,,,,,
258,258,G Handel,2015 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
259,259,G Handel,2015 april,,,,,,,,,,,,,,,,,,,,,
260,260,G Handel,2015 mei,,,,,,,,,,,,,,,,,,,,,
261,261,G Handel,2015 juni,,,,,,,,,,,,,,,,,,,,,
262,262,G Handel,2015 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
263,263,G Handel,2015 juli,,,,,,,,,,,,,,,,,,,,,
264,264,G Handel,2015 augustus,,,,,,,,,,,,,,,,,,,,,
265,265,G Handel,2015 september,,,,,,,,,,,,,,,,,,,,,
266,266,G Handel,2015 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
267,267,G Handel,2015 oktober,,,,,,,,,,,,,,,,,,,,,
268,268,G Handel,2015 november,,,,,,,,,,,,,,,,,,,,,
269,269,G Handel,2015 december,,,,,,,,,,,,,,,,,,,,,
270,270,G Handel,2015 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
271,271,G Handel,2015,,,,,,,,,,,,,,,,,,,,,
272,272,G Handel,2016 januari,,,,,,,,,,,,,,,,,,,,,
273,273,G Handel,2016 februari,,,,,,,,,,,,,,,,,,,,,
274,274,G Handel,2016 maart,,,,,,,,,,,,,,,,,,,,,
275,275,G Handel,2016 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
276,276,G Handel,2016 april,,,,,,,,,,,,,,,,,,,,,
277,277,G Handel,2016 mei,,,,,,,,,,,,,,,,,,,,,
278,278,G Handel,2016 juni,,,,,,,,,,,,,,,,,,,,,
279,279,G Handel,2016 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
280,280,G Handel,2016 juli,,,,,,,,,,,,,,,,,,,,,
281,281,G Handel,2016 augustus,,,,,,,,,,,,,,,,,,,,,
282,282,G Handel,2016 september,,,,,,,,,,,,,,,,,,,,,
283,283,G Handel,2016 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
284,284,G Handel,2016 oktober,,,,,,,,,,,,,,,,,,,,,
285,285,G Handel,2016 november,,,,,,,,,,,,,,,,,,,,,
286,286,G Handel,2016 december,,,,,,,,,,,,,,,,,,,,,
287,287,G Handel,2016 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
288,288,G Handel,2016,,,,,,,,,,,,,,,,,,,,,
289,289,G Handel,2017 januari,,,,,,,,,,,,,,,,,,,,,
290,290,G Handel,2017 februari,,,,,,,,,,,,,,,,,,,,,
291,291,G Handel,2017 maart,,,,,,,,,,,,,,,,,,,,,
292,292,G Handel,2017 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
293,293,G Handel,2017 april,,,,,,,,,,,,,,,,,,,,,
294,294,G Handel,2017 mei,,,,,,,,,,,,,,,,,,,,,
295,295,G Handel,2017 juni,,,,,,,,,,,,,,,,,,,,,
296,296,G Handel,2017 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
297,297,G Handel,2017 juli,,,,,,,,,,,,,,,,,,,,,
298,298,G Handel,2017 augustus,,,,,,,,,,,,,,,,,,,,,
299,299,G Handel,2017 september,,,,,,,,,,,,,,,,,,,,,
300,300,G Handel,2017 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
301,301,G Handel,2017 oktober,,,,,,,,,,,,,,,,,,,,,
302,302,G Handel,2017 november,,,,,,,,,,,,,,,,,,,,,
303,303,G Handel,2017 december,,,,,,,,,,,,,,,,,,,,,
304,304,G Handel,2017 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
305,305,G Handel,2017,,,,,,,,,,,,,,,,,,,,,
306,306,G Handel,2018 januari,,,,,,,,,,,,,,,,,,,,,
307,307,G Handel,2018 februari,,,,,,,,,,,,,,,,,,,,,
308,308,G Handel,2018 maart,,,,,,,,,,,,,,,,,,,,,
309,309,G Handel,2018 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
310,310,G Handel,2018 april,,,,,,,,,,,,,,,,,,,,,
311,311,G Handel,2018 mei,,,,,,,,,,,,,,,,,,,,,
312,312,G Handel,2018 juni,,,,,,,,,,,,,,,,,,,,,
313,313,G Handel,2018 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
314,314,G Handel,2018 juli,,,,,,,,,,,,,,,,,,,,,
315,315,G Handel,2018 augustus,,,,,,,,,,,,,,,,,,,,,
316,316,G Handel,2018 september,,,,,,,,,,,,,,,,,,,,,
317,317,G Handel,2018 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
318,318,G Handel,2018 oktober,,,,,,,,,,,,,,,,,,,,,
319,319,G Handel,2018 november,,,,,,,,,,,,,,,,,,,,,
320,320,G Handel,2018 december,,,,,,,,,,,,,,,,,,,,,
321,321,G Handel,2018 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
322,322,G Handel,2018,,,,,,,,,,,,,,,,,,,,,
323,323,G Handel,2019 januari,,,,,,,,,,,,,,,,,,,,,
324,324,G Handel,2019 februari,,,,,,,,,,,,,,,,,,,,,
325,325,G Handel,2019 maart,,,,,,,,,,,,,,,,,,,,,
326,326,G Handel,2019 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
327,327,G Handel,2019 april,,,,,,,,,,,,,,,,,,,,,
328,328,G Handel,2019 mei,,,,,,,,,,,,,,,,,,,,,
329,329,G Handel,2019 juni,,,,,,,,,,,,,,,,,,,,,
330,330,G Handel,2019 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
331,331,G Handel,2019 juli,,,,,,,,,,,,,,,,,,,,,
332,332,G Handel,2019 augustus,,,,,,,,,,,,,,,,,,,,,
333,333,G Handel,2019 september,,,,,,,,,,,,,,,,,,,,,
334,334,G Handel,2019 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
335,335,G Handel,2019 oktober,,,,,,,,,,,,,,,,,,,,,
336,336,G Handel,2019 november,,,,,,,,,,,,,,,,,,,,,
337,337,G Handel,2019 december,,,,,,,,,,,,,,,,,,,,,
338,338,G Handel,2019 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
339,339,G Handel,2019,,,,,,,,,,,,,,,,,,,,,
340,340,G Handel,2020 januari,,,,,,,,,,,,,,,,,,,,,
341,341,G Handel,2020 februari,,,,,,,,,,,,,,,,,,,,,
342,342,G Handel,2020 maart,,,,,,,,,,,,,,,,,,,,,
343,343,G Handel,2020 1e kwartaal,,,,,,,,,,,,,,,,,,,,,
344,344,G Handel,2020 april,,,,,,,,,,,,,,,,,,,,,
345,345,G Handel,2020 mei,,,,,,,,,,,,,,,,,,,,,
346,346,G Handel,2020 juni,,,,,,,,,,,,,,,,,,,,,
347,347,G Handel,2020 2e kwartaal,,,,,,,,,,,,,,,,,,,,,
348,348,G Handel,2020 juli,,,,,,,,,,,,,,,,,,,,,
349,349,G Handel,2020 augustus,,,,,,,,,,,,,,,,,,,,,
350,350,G Handel,2020 september,,,,,,,,,,,,,,,,,,,,,
351,351,G Handel,2020 3e kwartaal,,,,,,,,,,,,,,,,,,,,,
352,352,G Handel,2020 oktober,,,,,,,,,,,,,,,,,,,,,
353,353,G Handel,2020 november,,,,,,,,,,,,,,,,,,,,,
354,354,G Handel,2020 december,,,,,,,,,,,,,,,,,,,,,
355,355,G Handel,2020 4e kwartaal,,,,,,,,,,,,,,,,,,,,,
356,356,G Handel,2020,,,,,,,,,,,,,,,,,,,,,
357,357,G Handel,2021 januari,80.5,,,,,,,84.9,,,,,,,,,,,,,
358,358,G Handel,2021 februari,82.8,,,,,2.9,,86.2,,,,,1.6,,,,,,,,
359,359,G Handel,2021 maart,104.7,,,,,26.5,,107.8,,,,,25.0,,,,,,,,
360,360,G Handel,2021 1e kwartaal,89.3,,,,,,,93.0,,,,,,,,,,,,,
361,361,G Handel,2021 april,97.8,,,,,-6.6,,99.9,,,,,-7.3,,,,,,,,
362,362,G Handel,2021 mei,100.3,,,,,2.6,,101.5,,,,,1.6,,,,,,,,
363,363,G Handel,2021 juni,106.6,,,,,6.2,,107.8,,,,,6.2,,,,,,,,
364,364,G Handel,2021 2e kwartaal,101.6,,,,,13.7,,103.1,,,,,10.9,,,,,,,,
365,365,G Handel,2021 juli,100.0,,,,,-6.2,,100.0,,,,,-7.2,,,,,,,,
366,366,G Handel,2021 augustus,95.5,,,,,-4.4,,95.4,,,,,-4.6,,,,,,,,
